id,title,vote_average,vote_count,status,release_date,revenue,runtime,budget,imdb_id,original_language,overview,popularity,genres,production_countries,spoken_languages,cast,director
819098,A Blue Flower,6,1,Released,4/25/2021,0,85,0,tt11065278,hr,none supplied,0.893,Drama,Serbia  Croatia,Hrvatski,Katlin Stack  B.J. Stack IV  Molly McCarthy  Tim Fiegl,Zrinko Ogresta
504945,A Tale of Two,0,0,Released,5/23/2016,0,60,0,tt5891476,he,A journalist must portray a sociologist.,0.845,Documentary,Israel,English,Florence Janas  Jeanne Bischoff,Zohar Wagner
441846,A Round Trip to Love,6.4,9,Released,9/12/2016,0,70,0,tt12331732,zh,English,4.922,Drama  Action  Romance,China,English,Noriko Fujioka  Mei Itoya  Kanao Suzuki  Reia  Mihiro,Zoe Qin
441900,A Round Trip to Love Part 2,5,6,Released,9/28/2016,0,58,0,tt12501714,zh,English,4.32,Action  Drama  Romance,China,English,Daniel French  Sandryne Bedard  Steve Requin,Zoe Qin
394701,A Model Family in a Model Home,0,0,Released,9/3/2015,0,22,0,tt5667090,en,English,0.684,Documentary,United States of America,English,English,Zoe Beloff
885833,A Fairy Tale,6.5,1,Released,8/13/2021,0,20,0,tt20849100,fr,English,1.39,Comedy  Drama  Fantasy,Belgium  France,Franais,Tenzin Gyatso  Rick Ray,Zo Arene
309038,300 Worte Deutsch,5.764,36,Released,2/5/2015,276792,92,2000000,tt2288044,de,English,5.12,Comedy,Germany,Deutsch Trke,English,Zli Aladag
1196105,A Fork A Spoon  A Knight,0,0,Released,10/20/2015,0,13,0,tt26690718,en,English,0.845,Documentary  Drama,Uganda,English,Michael Mosley,Zippy Kimundu  Mira Nair
912294,59 Days,0,0,Released,8/27/2020,0,5,0,tt12999922,el,English,0.604,Documentary  Animation,Greece,English,Margita Taricsov  Mtys Drfi  Jozef Mikls  Viktor Nagy,Zina Papadopoulou
1114777,A Song Sung Blue,0,0,Released,3/20/2024,0,92,0,tt27540911,zh,English,5.81,Drama  Romance,China,English,David Verdaguer  Natalia Tena,Zihan Geng
